objid,g,r,i,z,type,run,rerun,zNN,zNN_err,zRF,zRF_err
1237662224092300547,21.64377,20.7574,20.39678,20.45039,3,3900,301,0.210318,0.071784,0.134141,0.046874
1237662224092300651,21.70023,20.93297,20.78162,20.47379,3,3900,301,0.201807,0.093577,0.169754,0.0890745
1237662224092365037,11.13855,10.35066,10.19525,10.46018,3,3900,301,0.291777,0.20572,0.186116,0.217109
1237662224092365039,17.13761,16.03362,14.67633,24.25627,3,3900,301,0.132466,0.081398,0.101505,0.0737725
1237662224092365227,20.94044,20.08517,19.63852,19.44473,3,3900,301,0.134847,0.06178,0.137108,0.13199
1237662224092365397,21.39433,20.7178,20.37052,20.29958,3,3900,301,0.331752,0.127133,0.248742,0.116651
1237662224092365429,21.58427,20.95662,20.9078,20.66507,3,3900,301,0.25898,0.145477,0.279186,0.180125
1237662224092365803,22.45533,20.9674,20.15236,19.71813,3,3900,301,0.41195,0.078084,0.447903,0.143488
1237662224092365958,22.3258,20.97004,20.14515,19.46216,3,3900,301,0.556295,0.084535,0.591551,0.125709
1237662224092431014,22.3739,20.52486,19.82438,19.35903,3,3900,301,0.387632,0.025881,0.374226,0.0585582
1237662224092496376,19.98543,19.17063,18.73009,18.59366,3,3900,301,0.224167,0.044901,0.208649,0.0793096
1237662224092496566,21.23549,20.06558,19.63465,19.36542,3,3900,301,0.317132,0.059223,0.311994,0.0940078
1237662224092496592,21.65287,20.80566,20.60517,19.70365,3,3900,301,0.428947,0.146341,0.401166,0.185593
1237662224092561543,19.6089,18.93814,19.06059,18.32915,3,3900,301,0.076715,0.083696,0.0636001,0.0491835
1237662224092561581,21.1186,19.33194,18.5794,18.29953,3,3900,301,0.389602,0.032663,0.415734,0.0800545
1237662224092562233,21.52141,20.8235,20.43884,20.29966,3,3900,301,0.203008,0.024865,0.204763,0.0488525
1237662224092562369,22.05901,20.73941,20.63319,20.25523,3,3900,301,0.345629,0.091958,0.343739,0.134377
1237662224092562763,22.20313,20.80417,20.32261,19.67737,3,3900,301,0.424187,0.076258,0.325363,0.105762
1237662224092562801,22.16984,20.3798,19.73409,19.31409,3,3900,301,0.351863,0.022768,0.343537,0.0546496
1237662224092626990,21.56583,20.29232,19.52073,19.03493,3,3900,301,0.493469,0.085844,0.426907,0.158157
